query,label,score
How much money did we bring in from sales this quarter?,Revenue,1
How much money did we bring in from sales this quarter?,Return on Assets (ROA),0
How much money did we bring in from sales this quarter?,Trade Payables,0
How much money did we bring in from sales this quarter?,Borrowings,0
What did it cost us to make the stuff we sold last month?,Cost of Goods Sold (COGS),1
What did it cost us to make the stuff we sold last month?,Return on Assets (ROA),0
What did it cost us to make da stuff we sold last month?,Return on Assets (ROA),0
What did it cost us to make the stuff we sold last month?,Trade Payables,0
What did it cost us to make the stuff we sold last month?,Borrowings,0
"After paying for production, how much did we keep last year?",Gross Profit,1
"After paying 4 production, how much did we keep last year?",Gross Profit,1
"After paying for production, how much did we keep last year?",Return on Assets (ROA),0
"After paying 4 production, how much did we keep last year?",Return on Assets (ROA),0
"After paying for production, how much did we keep last year?",Trade Payables,0
"After paying for production, how much we did keep last year?",Trade Payables,0
"After paying for production, how much did we keep last year?",Borrowings,0
"After paying for production, how much we did keep last year?",Borrowings,0
What are we spending to keep the business running this year?,Operating Expenses,1
What are we spending to keep da business running this year?,Operating Expenses,1
What are we spending to keep the business running this year?,Return on Assets (ROA),0
What are we spending to keep the business running this year?,Trade Payables,0
What are we spending to keep da business running this year?,Trade Payables,0
What are we spending to keep the business running this year?,Borrowings,0
How much did our main operations earn us in the last quarter?,Operating Profit (EBIT),1
How much did our main operations earn us in the last quarter?,Return on Equity (ROE),0
How much did our main operations earn us in the last quarter?,"Property, Plant and Equipment (PPE)",0
How much did our main operations earn us in da last quarter?,"Property, Plant and Equipment (PPE)",0
How much did our main operations earn us in the last quarter?,Borrowings,0
"What’s our profit before taxes, interest, and equipment costs this month?",EBITDA,1
"What’s our profit be4e taxes, interest, and equipment costs this month?",EBITDA,1
"What’s our profit before taxes, interest, and equipment costs this month?",Return on Equity (ROE),0
"What’s our proffit before taxes, interest, and equipment costs this month?",Return on Equity (ROE),0
"What’s our profit before taxes, interest, and equipment costs this month?","Property, Plant and Equipment (PPE)",0
"What’s our profit before taxes, interest, and equipment costs this month?",Borrowings,0
"What’s our provit before taxes, interest, and equipment costs this month?",Borrowings,0
"What’s our proffit be4e taxes, interest, and equipment costs this month?",Borrowings,0
"After all expenses, how much did we end up with last year?",Net Profit (PAT),1
"After all expenses, how much we did end up with last year?",Net Profit (PAT),1
"After all expenses, how much did we end up with last year?",Return on Assets (ROA),0
"After all expenses, how much did we end up with last year?",Trade Payables,0
"After all expenses, how much did we end up with last year?",Borrowings,0
"After all expenses, how much we did end up with last year?",Borrowings,0
"After all expenses, how much did we end up with last yr?",Borrowings,0
How much profit did each share make last quarter?,Earnings Per Share (EPS),1
How much provit did each share make last quarter?,Earnings Per Share (EPS),1
How much profit did each share make last quarter?,Return on Assets (ROA),0
How much profit did each share make last quarter?,Trade Payables,0
How much profit did each share make last quarter?,Borrowings,0
How much proffit did each share make last quarter?,Borrowings,0
How much cash came in from our operations in April?,Operating Cash Flow,1
How much cash came in from our operations in April?,Return on Assets (ROA),0
How much cash came in from our operations in April?,Trade Payables,0
How much cash came in from our operations in April?,Borrowings,0
What did we spend on new equipment or investments last year?,Investing Cash Flow,1
What did we spend on new equipment or investments last year?,Return on Assets (ROA),0
What did we spend on new equipment or investments last year?,Trade Payables,0
What did we spend on new equipment or investments last year?,Borrowings,0
Did we get any cash from loans or investors in the first quarter?,Financing Cash Flow,1
Did we get any cash from loans or inves2rs in the first quarter?,Financing Cash Flow,1
Did we get any cash from loans or investors in the first quarter?,Return on Assets (ROA),0
Did we get any cash from loans or investors in the first quarter?,Trade Payables,0
Did we get any cash from loans or investors in the first quarter?,Borrowings,0
Did we get any cash from loans or investors in da first quarter?,Borrowings,0
Did we get any cash from loans or inves2rs in the first quarter?,Borrowings,0
"After buying what we needed, how much cash is left this year?",Free Cash Flow,1
"After buying what we needed, how much cash is left this year?",Return on Assets (ROA),0
"After buying what we needed, how mch cash is left this year?",Return on Assets (ROA),0
"After buying what we needed, how much cash is left this year?",Trade Payables,0
"After buying what we needed, how mch cash is left this year?",Trade Payables,0
"After buying what we needed, how much cash is left this year?",Borrowings,0
How much are we writing off for old equipment this month?,Depreciation,1
How much are we writing off 4 old equipment this month?,Depreciation,1
How much are we writing off for old equipment this month?,Return on Assets (ROA),0
How much are we writing ovf 4 old equipment this month?,Return on Assets (ROA),0
How much are we writing off for old equipment this month?,Trade Payables,0
How much are we writing off for old equipment this month?,Borrowings,0
What’s the cost we’re spreading out for things like patents?,Amortization,1
What’s the cost we’re spreading out for things like patents?,Return on Assets (ROA),0
What’s the cost we’re spreading out for things like patents?,EV/EBITDA,0
What’s the cost we’re spreading out 4 things like patents?,EV/EBITDA,0
What’s the cost we’re spreading out for things like patents?,Borrowings,0
What bills have we noted but not paid yet as of last month?,Accruals,1
What bills have we noted but not paid yet as of last month?,Return on Assets (ROA),0
What bills have we noted but not paid yet as of last month?,Trade Payables,0
What bills have we noted but not paid yet as of last month?,Borrowings,0
Are we saving enough for future costs like repairs?,Provisions,1
Are we saving enough for future costs like repairs?,Return on Assets (ROA),0
Are we saving enough for future costs like repairs?,Trade Payables,0
Are we saving enough for future costs like repairs?,Borrowings,0
Could we owe money later depending on things like lawsuits?,Contingent Liabilities,1
Could we owe money later depending on things like lawsuits?,Return on Assets (ROA),0
Could we owe money later depending on things like lawsuits?,Trade Payables,0
Could we owe money later depending on things like lawsuits?,Borrowings,0
What chunk of our sales is profit after making our products this quarter?,Gross Profit Margin,1
What chunk of our sales is profit after making our products dis quater?,Gross Profit Margin,1
What chunk of our sales is profit after making our products this quarter?,Return on Equity (ROE),0
What chunk of our sales is profit after making our products this quarter?,"Property, Plant and Equipment (PPE)",0
What chunk ov our sales is provit after making our products dis quater?,"Property, Plant and Equipment (PPE)",0
What chunk of our sales is profit after making our products this quarter?,Borrowings,0
What chunk of our sales is profit after making our products dis quater?,Borrowings,0
How much of each sale stays with us after regular costs in 2024?,Operating Profit Margin,1
How much of each sale stays with us after regular costs in 2024?,Return on Equity (ROE),0
How much of each sale stays with us after regular costs in 2024?,"Property, Plant and Equipment (PPE)",0
How much of each sale stays with us after regular costs in 2024?,Borrowings,0
How much ov each sale stays with us after regular costs in 2024?,Borrowings,0
What’s our real profit percentage from all sales last year?,Net Profit Margin,1
What’s our real profit percentage from all sales last year?,Return on Equity (ROE),0
What’s our real provit percentage from all sales last year?,Return on Equity (ROE),0
What’s our real profit percentage from all sales last year?,"Property, Plant and Equipment (PPE)",0
What’s our real profit percentage from all sales last year?,Borrowings,0
Are we making good money from the things we own this year?,Return on Assets (ROA),1
Are we making good money from da things we own this year?,Return on Assets (ROA),1
Are we making good money from the things we own this year?,Net Profit Margin,0
Are we making good money from the things we own this year?,Trade Payables,0
Are we making good money from the things we own this year?,Borrowings,0
How much are shareholders earning from their investment last quarter?,Return on Equity (ROE),1
How much are shareholders earning from dair investment last quarter?,Return on Equity (ROE),1
How much are shareholders earning from their investment last quarter?,Return on Assets (ROA),0
How much are shareholders earning from their investment last quarter?,"Property, Plant and Equipment (PPE)",0
How much are shareholders earning from dair investment last quarter?,"Property, Plant and Equipment (PPE)",0
How much are shareholders earning from their investment last quarter?,Borrowings,0
Are we using our money wisely to make profits this year?,Return on Capital Employed (ROCE),1
Are we using our money wisely to make profits this year?,Return on Assets (ROA),0
Are we using our money wisely to make profits this year?,"Property, Plant and Equipment (PPE)",0
Are we using our money wisely 2 make provits this year?,"Property, Plant and Equipment (PPE)",0
Are we using our money wisely 2 make profits this year?,"Property, Plant and Equipment (PPE)",0
Are we using our money wisely to make profits this year?,Borrowings,0
Are we using our money wisely to make proffits this year?,Borrowings,0
What part of our sales is profit before taxes and wear-and-tear costs this month?,EBITDA Margin,1
What part ov our sales is provit before taxes and wear-and-tear costs this month?,EBITDA Margin,1
What part of our sales is proffit before taxes and wear-and-tear costs this month?,EBITDA Margin,1
What part of our sales is profit before taxes and wear-and-tear costs this month?,Return on Assets (ROA),0
What part of our sales is profit before taxes and wear-and-tear costs this month?,"Property, Plant and Equipment (PPE)",0
What part ov our sales is provit before taxes and wear-and-tear costs this month?,"Property, Plant and Equipment (PPE)",0
What part of our sales is proffit before taxes and wear-and-tear costs this month?,"Property, Plant and Equipment (PPE)",0
What part of our sales is profit before taxes and wear-and-tear costs this month?,Borrowings,0
What part of our sales is proffit before taxes and wear-and-tear costs this month?,Borrowings,0
Can we pay off our short-term bills easily right now?,Current Ratio,1
Can we pay off our short-term bills easily right now?,Net Profit Margin,0
Can we pay off our short-term bills easily right now?,Trade Payables,0
Can we pay off our short-term bills easily right now?,Borrowings,0
"Without counting our stock, can we cover what we owe soon?",Quick Ratio (Acid Test),1
"Without counting our stock, can we cover what we owe soon?",Net Profit Margin,0
"Without counting our stock, can we cover what we owe soon?",Trade Payables,0
"Without counting our stock, can we cover what we owe soon?",Borrowings,0
"Without counting our s2ck, can we cover what we owe soon?",Borrowings,0
How much cash do we have to handle bills due this month?,Cash Ratio,1
How much cash do we have to handle bills due this month?,Net Profit Margin,0
How much cash do we have 2 handle bills due this month?,Net Profit Margin,0
How much cash do we have to handle bills due this month?,Trade Payables,0
How much cash do we have to handle bills due this month?,Borrowings,0
Are we selling our products fast enough compared to what’s in stock?,Inventory Turnover,1
Are we selling our products fast enough compared to what’s in stock?,Net Profit Margin,0
Are we selling our products fast enough compared to what’s in stock?,Trade Payables,0
Are we selling our products fast enough compared to what’s in stock?,Borrowings,0
Are customers paying us faster than they did last year?,Receivables Turnover,1
Are customers paying us faster than they did last year?,Net Profit Margin,0
Are customers paying us faster than they did last year?,"Property, Plant and Equipment (PPE)",0
Are customers paying us faster than they did last yr?,"Property, Plant and Equipment (PPE)",0
Are customers paying us faster than they did last year?,Borrowings,0
How often are we paying our suppliers this quarter?,Payables Turnover,1
How often are we paying our suppliers this quarter?,Net Profit Margin,0
How often are we paying our suppliers this quarter?,EV/EBITDA,0
How often are we paying our suppliers dis quater?,EV/EBITDA,0
How often are we paying our suppliers this quarter?,Deferred Tax Assets,0
Are we using what we own to boost sales well?,Asset Turnover,1
Are we using what we own to boost sales well?,Return on Assets (ROA),0
Are we using what we own to boost sales well?,"Property, Plant and Equipment (PPE)",0
Are we using what we own to boost sales well?,Borrowings,0
Are our short-term resources helping us sell more?,Working Capital Turnover,1
Are our short-term resources helping us sell more?,Return on Assets (ROA),0
Are our short-term resources helping us sell more?,"Property, Plant and Equipment (PPE)",0
Are our short-term resources helping us sell more?,Borrowings,0
Do we owe more than what we’ve put into the company?,Debt-to-Equity Ratio,1
Do we owe more than what we’ve put into the company?,Net Profit Margin,0
Do we owe more than what we’ve put into the company?,Trade Payables,0
Do we owe more than what we’ve put into the company?,Borrowings,0
How much of what we own comes from borrowed money?,Debt Ratio,1
How much ov what we own comes from borrowed money?,Debt Ratio,1
How much of what we own comes from borrowed money?,Net Profit Margin,0
How much of what we own comes from borrowed money?,EV/EBITDA,0
How much of what we own comes from borrowed money?,Deferred Tax Assets,0
How much ov what we own comes from borrowed money?,Deferred Tax Assets,0
Can we handle the interest on our loans comfortably?,Interest Coverage Ratio,1
Can we handle da interest on our loans comfortably?,Interest Coverage Ratio,1
Can we handle the interest on our loans comfortably?,Net Profit Margin,0
Can we handle the interest on our loans comfortably?,Trade Payables,0
Can we handle da interest on our loans comfortably?,Trade Payables,0
Can we handle the interest on our loans com4tably?,Trade Payables,0
Can we handle the interest on our loans comfortably?,Borrowings,0
Can we handle the interest on our loans com4tably?,Borrowings,0
How much of the company really belongs to the owners?,Equity Ratio,1
How much of the company really belongs to the owners?,Net Profit Margin,0
How much of da company really belongs to da owners?,Net Profit Margin,0
How much of the company really belongs to the owners?,Trade Payables,0
How much of da company really belongs to da owners?,Trade Payables,0
How much of the company really belongs to the owners?,Borrowings,0
What’s the split between borrowed money and our own funds?,Capital Gearing Ratio,1
What’s the split between borrowed money and our own funds?,Net Profit Margin,0
What’s the split between borrowed money and our own funds?,EV/EBITDA,0
What’s the split between borrowed money and our own funds?,Deferred Tax Assets,0
How much is each share earning us this year?,Earnings Per Share (EPS),1
How much is each share earning us this year?,Return on Assets (ROA),0
How much is each share earning us this year?,Trade Payables,0
How much is each share earning us this year?,Borrowings,0
Are people paying a lot for our stock compared to profits?,Price-to-Earnings (P/E) Ratio,1
Are people paying a lot for our stock compared to proffits?,Price-to-Earnings (P/E) Ratio,1
Are people paying a lot for our stock compared to provits?,Price-to-Earnings (P/E) Ratio,1
Are people paying a lot for our stock compared to profits?,Return on Assets (ROA),0
Are people paying a lot for our stock compared to provits?,Return on Assets (ROA),0
Are people paying a lot for our stock compared to profits?,"Property, Plant and Equipment (PPE)",0
Are people paying a lot for our stock compared to proffits?,"Property, Plant and Equipment (PPE)",0
Are people paying a lot for our stock compared to profits?,Borrowings,0
Is our stock worth more than what we actually own per share?,Price-to-Book (P/B) Ratio,1
Is our stock worth more than what we actually own per share?,Return on Assets (ROA),0
Is our stock worth more than what we actually own per share?,"Property, Plant and Equipment (PPE)",0
Is our stock worth more than what we actually own per share?,Borrowings,0
Is our s2ck worth more than what we actually own per share?,Borrowings,0
What’s the payout to investors from dividends right now?,Dividend Yield,1
What’s the payout to investors from dividends right now?,Net Profit Margin,0
What’s the payout to investors from dividends right now?,"Property, Plant and Equipment (PPE)",0
What’s the payout 2 inves2rs from dividends right now?,"Property, Plant and Equipment (PPE)",0
What’s the payout to investors from dividends right now?,Borrowings,0
What’s the payout 2 inves2rs from dividends right now?,Borrowings,0
How much of our earnings are we giving out to shareholders?,Dividend Payout Ratio,1
How much ov our earnings are we giving out to shareholders?,Dividend Payout Ratio,1
How much of our earnings are we giving out to shareholders?,Return on Assets (ROA),0
How much of our erning are we giving out to shareholders?,Return on Assets (ROA),0
How much of our earnings are we giving out to shareholders?,"Property, Plant and Equipment (PPE)",0
How much of our erning are we giving out to shareholders?,"Property, Plant and Equipment (PPE)",0
How much of our earnings are we giving out to shareholders?,Borrowings,0
"What’s the total worth of our company, debts included?",Enterprise Value (EV),1
"What’s the 2tal worth of our company, debts included?",Enterprise Value (EV),1
"What’s da total worth of our company, debts included?",Enterprise Value (EV),1
"What’s the total worth of our company, debts included?",Net Profit Margin,0
"What’s the 2tal worth of our company, debts included?",Net Profit Margin,0
"What’s the total worth of our company, debts included?",Trade Payables,0
"What’s the total worth of our company, debts included?",Borrowings,0
How does our value stack up against profits before taxes and depreciation?,EV/EBITDA,1
How does our value stack up against profits before taxes and depreciation?,Return on Assets (ROA),0
How does our value stack up against proffits before taxes and depreciation?,Return on Assets (ROA),0
How does our value stack up against profits before taxes and depreciation?,"Property, Plant and Equipment (PPE)",0
How does our valeu stack up against profits before taxes and depreciation?,"Property, Plant and Equipment (PPE)",0
How does our value stack up against provits before taxes and depreciation?,"Property, Plant and Equipment (PPE)",0
How does our value stack up against profits before taxes and depreciation?,Borrowings,0
What’s the value of our buildings and machines right now?,"Property, Plant and Equipment (PPE)",1
What’s da value of our buildings and machines right now?,"Property, Plant and Equipment (PPE)",1
What’s the value of our buildings and machines right now?,Net Profit Margin,0
What’s the value of our buildings and machines right now?,EV/EBITDA,0
What’s da value of our buildings and machines right now?,EV/EBITDA,0
What’s the value of our buildings and machines right now?,Borrowings,0
What’s the valeu of our buildings and machines right now?,Borrowings,0
How much are things like our patents worth?,Intangible Assets,1
How much are things like our patents worth?,Net Profit Margin,0
How much are things like our patents worth?,Trade Payables,0
How much are things like our patents worth?,Borrowings,0
What’s the value of properties we’re holding to rent or sell?,Investment Property,1
What’s the valeu of properties we’re holding to rent or sell?,Investment Property,1
What’s the value ov properties we’re holding to rent or sell?,Investment Property,1
What’s the value of properties we’re holding to rent or sell?,Net Profit Margin,0
What’s the valeu of properties we’re holding to rent or sell?,Net Profit Margin,0
What’s the value of properties we’re holding to rent or sell?,Trade Payables,0
What’s da value of properties we’re holding to rent or sell?,Trade Payables,0
What’s the value of properties we’re holding to rent or sell?,Borrowings,0
