"type","grouping_label","grouping_id","parent_grouping_label","parent_grouping_id","gl_nature","amount_type","period_type","data_type"
"BS Master","Base MIS BS View",5300029,NULL,NULL,"Liability","Credit","Instant",NULL
"BS Master","    Balance Sheet Net",5300027,"Base MIS BS View",5300029,"Liability","Credit","Instant",NULL
"BS Master","        Total Equity and Liabilites",5300005,"Balance Sheet Net",5300027,"Liability","Credit","Instant",NULL
"BS Master","            Equity",5300007,"Total Equity and Liabilites",5300005,"Liability","Credit","Instant",NULL
"BS Master","                Unit capital / Equity share capital",5300126,"Equity",5300007,"Liability","Credit","Instant",NULL
"BS Master","                    Issued, subscribed and paid-up - Unit capital / Equity share capital",5300127,"Unit capital / Equity share capital",5300126,"Liability","Credit","Instant",NULL
"BS Master","                Other Equity",5300008,"Equity",5300007,"Liability","Credit","Instant",NULL
"BS Master","                    Other reserves",5300009,"Other Equity",5300008,"Liability","Credit","Instant",NULL
"BS Master","                        Profit and Loss Conversion Adjustment",5300018,"Other reserves",5300009,"Liability","Credit","Instant",NULL
"BS Master","                        Foreign Currency Translation Reserve",5300019,"Other reserves",5300009,"Liability","Credit","Instant",NULL
"BS Master","                        Forex Conversion Gain Loss",5300020,"Other reserves",5300009,"Liability","Credit","Instant",NULL
"BS Master","                        Hedging Reserve",5301467,"Other reserves",5300009,"Liability","Credit","Instant",NULL
"BS Master","                    Securities premium",5300128,"Other Equity",5300008,"Liability","Credit","Instant",NULL
"BS Master","                    Equity component of non convertible debentures/loans",5300129,"Other Equity",5300008,"Liability","Credit","Instant",NULL
"BS Master","                    Share Application Money",5300130,"Other Equity",5300008,"Liability","Credit","Instant",NULL
"BS Master","                    Optionally convertible redeemable preference shares ('OCRPS')",5300131,"Other Equity",5300008,"Liability","Credit","Instant",NULL
"BS Master","                        Issued, subscribed and paid-up - Preference Share Capital",5300132,"Optionally convertible redeemable preference shares ('OCRPS')",5300131,"Liability","Credit","Instant",NULL
"BS Master","                    Capital Reserve",5301311,"Other Equity",5300008,"Liability","Credit","Instant",NULL
"BS Master","                    Self Insurance Reserve",5300140,"Other Equity",5300008,"Liability","Credit","Instant",NULL
"BS Master","                    Retained earnings",5300133,"Other Equity",5300008,"Liability","Credit","Instant",NULL
"BS Master","                        Retained earnings - Opening balance",5300134,"Retained earnings",5300133,"Liability","Credit","Instant",NULL
"BS Master","                        Retained earnings - Profit/Loss for CY",5300135,"Retained earnings",5300133,"Liability","Credit","Instant",NULL
"BS Master","                        Retained earning transfer to NCI",5300372,"Retained earnings",5300133,"Liability","Credit","Duration",NULL
"BS Master","                        Retained earnings - Distribution paid to unitholders",5300136,"Retained earnings",5300133,"Liability","Credit","Duration",NULL
"BS Master","                        Retained earnings - Dividend paid to shareholders",5300400,"Retained earnings",5300133,"Liability","Credit","Duration",NULL
