NL_Query,GT_Glossary,Predicted_Glossary,Similarity_Score
How much money did we bring in from sales this quarter?,Revenue,Investing Cash Flow,0.5668
What did it cost us to make the stuff we sold last month?,Cost of Goods Sold (COGS),Cost of Goods Sold (COGS),0.6028
"After paying for production, how much did we keep last year?",Gross Profit,Current Assets,0.5518
What are we spending to keep the business running this year?,Operating Expenses,Operating Expenses,0.581
How much did our main operations earn us in the last quarter?,Operating Profit (EBIT),Operating Cash Flow,0.5976
"What’s our profit before taxes, interest, and equipment costs this month?",EBITDA,Operating Profit (EBIT),0.6694
"After all expenses, how much did we end up with last year?",Net Profit (PAT),Current Assets,0.5625
How much profit did each share make last quarter?,Earnings Per Share (EPS),Earnings Per Share (EPS),0.6607
How much cash came in from our operations in April?,Operating Cash Flow,Operating Cash Flow,0.5833
What did we spend on new equipment or investments last year?,Investing Cash Flow,Current Assets,0.606
Did we get any cash from loans or investors in the first quarter?,Financing Cash Flow,Investing Cash Flow,0.5797
"After buying what we needed, how much cash is left this year?",Free Cash Flow,Current Assets,0.6615
How much are we writing off for old equipment this month?,Depreciation,Depreciation,0.5825
What’s the cost we’re spreading out for things like patents?,Amortization,Cost of Goods Sold (COGS),0.5329
What bills have we noted but not paid yet as of last month?,Accruals,Borrowings,0.5478
Are we saving enough for future costs like repairs?,Provisions,Provisions,0.5829
Could we owe money later depending on things like lawsuits?,Contingent Liabilities,Contingent Liabilities,0.658
What chunk of our sales is profit after making our products this quarter?,Gross Profit Margin,Gross Profit Margin,0.6349
How much of each sale stays with us after regular costs in 2024?,Operating Profit Margin,Current Assets,0.5408
What’s our real profit percentage from all sales last year?,Net Profit Margin,Operating Profit Margin,0.6241
Are we making good money from the things we own this year?,Return on Assets (ROA),Current Assets,0.6355
How much are shareholders earning from their investment last quarter?,Return on Equity (ROE),Earnings Per Share (EPS),0.6085
Are we using our money wisely to make profits this year?,Return on Capital Employed (ROCE),Return on Equity (ROE),0.6001
What part of our sales is profit before taxes and wear-and-tear costs this month?,EBITDA Margin,Operating Profit (EBIT),0.6692
Can we pay off our short-term bills easily right now?,Current Ratio,Current Ratio,0.5844
"Without counting our stock, can we cover what we owe soon?",Quick Ratio (Acid Test),Provisions,0.62
How much cash do we have to handle bills due this month?,Cash Ratio,Current Liabilities,0.5637
Are we selling our products fast enough compared to what’s in stock?,Inventory Turnover,Inventory Turnover,0.6277
Are customers paying us faster than they did last year?,Receivables Turnover,Payables Turnover,0.5997
How often are we paying our suppliers this quarter?,Payables Turnover,Trade Payables,0.6193
Are we using what we own to boost sales well?,Asset Turnover,Revenue,0.5896
Are our short-term resources helping us sell more?,Working Capital Turnover,Current Ratio,0.629
Do we owe more than what we’ve put into the company?,Debt-to-Equity Ratio,Liabilities,0.6302
How much of what we own comes from borrowed money?,Debt Ratio,Borrowings,0.6352
Can we handle the interest on our loans comfortably?,Interest Coverage Ratio,Interest Coverage Ratio,0.6217
How much of the company really belongs to the owners?,Equity Ratio,Equity,0.6906
What’s the split between borrowed money and our own funds?,Capital Gearing Ratio,Borrowings,0.63
How much is each share earning us this year?,Earnings Per Share (EPS),Earnings Per Share (EPS),0.6468
Are people paying a lot for our stock compared to profits?,Price-to-Earnings (P/E) Ratio,Earnings Per Share (EPS),0.6177
Is our stock worth more than what we actually own per share?,Price-to-Book (P/B) Ratio,Earnings Per Share (EPS),0.6433
What’s the payout to investors from dividends right now?,Dividend Yield,Dividend Payout Ratio,0.7156
How much of our earnings are we giving out to shareholders?,Dividend Payout Ratio,Dividend Payout Ratio,0.6788
"What’s the total worth of our company, debts included?",Enterprise Value (EV),Liabilities,0.6267
How does our value stack up against profits before taxes and depreciation?,EV/EBITDA,Operating Profit (EBIT),0.6689
What’s the value of our buildings and machines right now?,"Property, Plant and Equipment (PPE)",Non-Current Assets,0.5755
How much are things like our patents worth?,Intangible Assets,Intangible Assets,0.5782
What’s the value of properties we’re holding to rent or sell?,Investment Property,Investment Property,0.6817
How much do we have tied up in stocks or bonds?,Financial Assets,Financial Assets,0.6031
What’s the worth of all the products we’ve got ready to sell?,Inventories,Inventories,0.6017
Can we save on taxes later because of past losses?,Deferred Tax Assets,Deferred Tax Assets,0.644
How much have we borrowed altogether?,Borrowings,Borrowings,0.6028
What do we owe suppliers for stuff we’ve bought?,Trade Payables,Trade Payables,0.6904
Are we setting aside money for future employee costs?,Provisions,Provisions,0.6627
How much tax will we owe down the road?,Deferred Tax Liabilities,Deferred Tax Liabilities,0.6163
What other debts do we have hanging out there?,Other Financial Liabilities,Other Financial Liabilities,0.6843
How much cash did shareholders put into the company?,Share Capital,Share Capital,0.5987
What’s the total of profits we’ve kept over time?,Other Equity / Reserves & Surplus,Net Profit (PAT),0.6121
How does our sales money this quarter compare to last year?,Revenue,Revenue,0.5463
Did it cost more to make things this month than last month?,Cost of Goods Sold (COGS),Cost of Goods Sold (COGS),0.5205
How has our profit after production been trending lately?,Gross Profit,Gross Profit Margin,0.5979
Are we spending more than planned this year?,Operating Expenses,Current Assets,0.5349
What did we earn from operations before interest last year?,Operating Profit (EBIT),Operating Profit (EBIT),0.7138
What’s our profit before equipment costs this quarter?,EBITDA,Operating Profit (EBIT),0.6048
How much did we keep after everything last month?,Net Profit (PAT),Current Ratio,0.4973
How much is each share earning so far this year?,Earnings Per Share (EPS),Earnings Per Share (EPS),0.6537
How much cash did we make in the first half of 2025?,Operating Cash Flow,Current Assets,0.5961
What did we spend on investments last quarter?,Investing Cash Flow,Investing Cash Flow,0.5983
Have we borrowed or sold shares for cash recently?,Financing Cash Flow,Financing Cash Flow,0.6391
How much cash do we have left after equipment buys this month?,Free Cash Flow,Investing Cash Flow,0.6223
What’s the write-off for our gear this quarter?,Depreciation,Deferred Tax Assets,0.5714
Are we spreading out costs for non-physical stuff?,Amortization,Deferred Tax Assets,0.6021
