NL_Query,GT_Glossary,Predicted_Glossary,Similarity_Score
How much money did we bring in from sales this quarter?,Revenue,Revenue,1.9718
What did it cost us to make the stuff we sold last month?,Cost of Goods Sold (COGS),Cost of Goods Sold (COGS),2.1128
"After paying for production, how much did we keep last year?",Gross Profit,Earnings Per Share (EPS),1.8338
What are we spending to keep the business running this year?,Operating Expenses,Operating Expenses,2.69
How much did our main operations earn us in the last quarter?,Operating Profit (EBIT),Operating Profit Margin,2.4208
"What’s our profit before taxes, interest, and equipment costs this month?",EBITDA,Operating Profit (EBIT),2.7623
"After all expenses, how much did we end up with last year?",Net Profit (PAT),Net Profit (PAT),2.7346
How much profit did each share make last quarter?,Earnings Per Share (EPS),Earnings Per Share (EPS),2.8617
How much cash came in from our operations in April?,Operating Cash Flow,Operating Cash Flow,1.8258
What did we spend on new equipment or investments last year?,Investing Cash Flow,Investing Cash Flow,1.8986
Did we get any cash from loans or investors in the first quarter?,Financing Cash Flow,Financing Cash Flow,2.1802
"After buying what we needed, how much cash is left this year?",Free Cash Flow,Investing Cash Flow,1.7765
How much are we writing off for old equipment this month?,Depreciation,Depreciation,1.6511
What’s the cost we’re spreading out for things like patents?,Amortization,Intangible Assets,0.3847
What bills have we noted but not paid yet as of last month?,Accruals,Accruals,1.1897
Are we saving enough for future costs like repairs?,Provisions,Provisions,2.386
Could we owe money later depending on things like lawsuits?,Contingent Liabilities,Contingent Liabilities,1.5798
What chunk of our sales is profit after making our products this quarter?,Gross Profit Margin,Operating Profit Margin,2.1218
How much of each sale stays with us after regular costs in 2024?,Operating Profit Margin,Current Liabilities,0.845
What’s our real profit percentage from all sales last year?,Net Profit Margin,Operating Profit Margin,2.5055
Are we making good money from the things we own this year?,Return on Assets (ROA),Current Assets,2.3129
How much are shareholders earning from their investment last quarter?,Return on Equity (ROE),Earnings Per Share (EPS),2.3104
Are we using our money wisely to make profits this year?,Return on Capital Employed (ROCE),Current Assets,1.6609
What part of our sales is profit before taxes and wear-and-tear costs this month?,EBITDA Margin,Operating Profit (EBIT),2.1808
Can we pay off our short-term bills easily right now?,Current Ratio,Current Liabilities,1.8631
"Without counting our stock, can we cover what we owe soon?",Quick Ratio (Acid Test),Interest Coverage Ratio,1.578
How much cash do we have to handle bills due this month?,Cash Ratio,Cash Ratio,1.6687
Are we selling our products fast enough compared to what’s in stock?,Inventory Turnover,Inventory Turnover,1.9207
Are customers paying us faster than they did last year?,Receivables Turnover,Payables Turnover,2.4218
How often are we paying our suppliers this quarter?,Payables Turnover,Payables Turnover,1.6291
Are we using what we own to boost sales well?,Asset Turnover,Investing Cash Flow,1.2079
Are our short-term resources helping us sell more?,Working Capital Turnover,Current Ratio,1.1406
Do we owe more than what we’ve put into the company?,Debt-to-Equity Ratio,Liabilities,2.6664
How much of what we own comes from borrowed money?,Debt Ratio,Financing Cash Flow,1.5274
Can we handle the interest on our loans comfortably?,Interest Coverage Ratio,Interest Coverage Ratio,2.3173
